seed,modality,fold,label,target,n,pearson,spearman
43,table,-1,-1,abs_gap,85,0.9641706361818361,0.9613249951143247
43,table,-1,0,loss,23,-0.03371695314708212,-0.6966403162055337
43,table,-1,0,offset,23,0.4744723881824179,0.5335968379446641
43,table,-1,0,abs_gap,23,0.952483768040182,0.9209486166007905
43,table,-1,1,loss,62,-0.08752335420078258,-0.8090201707335499
43,table,-1,1,offset,62,0.540688109920986,0.4983254010223868
43,table,-1,1,abs_gap,62,0.9643310167366674,0.9572914305859839
43,table,0,-1,loss,17,-0.2972823240517976,-0.8480392156862745
43,table,0,-1,offset,17,0.19030831337490553,0.009803921568627453
43,table,0,-1,abs_gap,17,0.9703115219432588,0.9754901960784315
43,table,0,0,loss,4,-0.621358202683836,-0.7999999999999999
43,table,0,0,offset,4,0.962337768509049,1.0
43,table,0,0,abs_gap,4,0.9948174140223055,0.7999999999999999
43,table,0,1,loss,13,-0.13328780485072175,-0.901098901098901
43,table,0,1,offset,13,-0.03507599766096878,0.016483516483516484
43,table,0,1,abs_gap,13,0.9845140372600611,0.9780219780219779
43,table,1,-1,loss,17,-0.12146753682987191,-0.6200980392156864
43,table,1,-1,offset,17,0.36005033604596137,0.35784313725490197
43,table,1,-1,abs_gap,17,0.9812036950726166,0.9558823529411765
43,table,1,0,loss,4,-0.648170507028087,-0.7999999999999999
43,table,1,0,offset,4,-0.16224631792626631,0.39999999999999997
43,table,1,0,abs_gap,4,0.9853975747537587,1.0
43,table,1,1,loss,13,-0.22815045361265157,-0.7142857142857143
43,table,1,1,offset,13,0.4729579901521032,0.41208791208791207
43,table,1,1,abs_gap,13,0.9803671067317871,0.9560439560439561
43,table,2,-1,loss,17,-0.28199975838785063,-0.928921568627451
43,table,2,-1,offset,17,0.7391740440441029,0.8039215686274511
43,table,2,-1,abs_gap,17,0.9862692058698158,0.9509803921568628
43,table,2,0,loss,5,0.21468708665826852,-0.7
43,table,2,0,offset,5,0.003743091100481266,-0.19999999999999998
43,table,2,0,abs_gap,5,0.9888224691061889,0.9999999999999999
43,table,2,1,loss,12,-0.6245310304575182,-0.9860139860139862
43,table,2,1,offset,12,0.8505641298971071,0.7902097902097903
43,table,2,1,abs_gap,12,0.9951958367525107,0.9860139860139862
43,table,3,-1,loss,17,-0.6420360546501628,-0.9632352941176472
43,table,3,-1,offset,17,0.8907319179639672,0.7622549019607844
43,table,3,-1,abs_gap,17,0.983740179639819,0.9754901960784315
