seed,modality,fold,correct,variable,n,mean,std,min,p05,p25,median,p75,p95,max
42,emg,3,0,abs_gap,10,0.44359113117679955,0.5659079924575415,0.028291344642639188,0.06491280496120452,0.2534839715808629,0.30747605860233307,0.3418134448584169,1.3249461416155082,2.113161563873291
42,emg,3,0,quality,10,0.0693657714873552,0.02294698784410981,0.0420059189200401,0.04307567942887542,0.0480939410626888,0.066118698567152,0.08625705540180201,0.10387635529041285,0.1116879805922508
42,emg,3,0,loss,10,0.9714679154540329,0.42237200152304444,0.707392899567485,0.7263348464979464,0.8279365122282263,0.8586819595208457,0.8785884176034513,1.6255734294908806,2.2272535918108733
42,emg,3,1,logit0,7,0.09932198854429383,0.4123754081532589,-0.2793152630329132,-0.25951305478811265,-0.1712596863508224,-0.0548994354903698,0.1780031584203243,0.7950440317392344,1.015981674194336
42,emg,3,1,logit1,7,-0.0700361733990056,0.4108978956756893,-0.7820420265197754,-0.6436948210000991,-0.2060850523412227,-0.0728264078497886,0.04746115766465665,0.5204417482018466,0.681863009929657
42,emg,3,1,offset,7,0.014642907572644122,0.21456888839750105,-0.1760708354413509,-0.16893858462572095,-0.1372486390173435,-0.08904064632952205,0.08070808742195366,0.3715760037302968,0.48069293797016144
42,emg,3,1,gap,7,-0.16935816194329942,0.702582297220757,-1.7980237007141113,-1.377827028185129,-0.15851323865354056,0.1220224723219872,0.20259021408855915,0.343584757298231,0.4023401439189911
42,emg,3,1,abs_gap,7,0.45789664558001925,0.5591374905614673,0.0803416483104229,0.09284589551389219,0.16035702265799046,0.2064888551831246,0.39985413476824755,1.3793186336755743,1.7980237007141113
42,emg,3,1,quality,7,0.07666108757257459,0.027050587300696146,0.0522396638989448,0.0528490830212831,0.05666331760585305,0.0604913122951984,0.0955880098044872,0.11865298375487328,0.1193939819931984
42,emg,3,1,loss,7,0.523019618501978,0.15914199839765225,0.15325818851926032,0.2609037664235365,0.5130745349293317,0.5952230171221226,0.616362033480035,0.6478468838403055,0.653782987053729
42,emg,4,-1,logit0,17,0.8552438601413194,0.44572030827964787,-0.171758234500885,-0.07026279866695403,0.622215986251831,1.0213536024093628,1.123747706413269,1.4063611268997191,1.419502854347229
42,emg,4,-1,logit1,17,1.7953442615621231,0.8874902700754597,0.8114809393882751,0.8674102663993836,0.9819218516349792,1.5106744766235352,2.356736898422241,3.4342630863189694,3.987269639968872
42,emg,4,-1,offset,17,1.3252940608517212,0.509312661201074,0.4050818085670471,0.5723911046981811,1.050683081150055,1.2705273628234863,1.8068771958351135,2.0716568380594254,2.236203745007515
42,emg,4,-1,gap,17,0.9401004014208036,0.9669610115946524,-0.3385809659957886,-0.32011492252349855,0.3874778151512146,0.564966082572937,1.5710471868515015,2.725212496519088,3.5021317899227142
42,emg,4,-1,abs_gap,17,1.0170509164385937,0.8856691233565313,0.315498411655426,0.33396445512771605,0.3874778151512146,0.564966082572937,1.5710471868515015,2.725212496519088,3.5021317899227142
42,emg,4,-1,quality,17,0.22039830947623532,0.07157529155573879,0.1256118714809417,0.1312581360340118,0.1765196770429611,0.1984629482030868,0.2682673633098602,0.35014590024948117,0.4016957879066467
42,emg,4,-1,loss,17,0.7305158261222895,0.6470642927876153,0.02968799536404987,0.14835680032696033,0.4407487906790748,0.5152160311551062,0.8632875277470826,2.0417572432232265,2.607555472237643
42,emg,4,0,logit0,5,0.5399427600204945,0.5501618842781266,-0.171758234500885,-0.14638437554240227,-0.0448889397084713,0.7650287747383118,0.9339244961738586,1.1607110619544982,1.2174077033996582
42,emg,4,0,logit1,5,1.638941240310669,0.8745942660936706,0.9019092917442322,0.9179118037223816,0.9819218516349792,1.3214023113250732,1.693461298942566,2.975501418113708,3.296011447906494
42,emg,4,0,offset,5,1.0894420001655818,0.5341596063037165,0.4050818085670471,0.48892268277704715,0.8242861796170473,1.0596584975719452,1.127663403749466,1.8499487698078154,2.030520111322403
42,emg,4,0,gap,5,1.0989984802901744,0.9969355637986862,-0.315498411655426,-0.17490316629409788,0.3874778151512146,1.1536800861358643,1.7383502386510372,2.372456186264753,2.5309826731681824
42,emg,4,0,abs_gap,5,1.2251978449523449,0.8369996527901593,0.315498411655426,0.32989429235458373,0.3874778151512146,1.1536800861358643,1.7383502386510372,2.372456186264753,2.5309826731681824
42,emg,4,0,quality,5,0.20177560746669765,0.0712401485619251,0.1256118714809417,0.13579343259334556,0.1765196770429611,0.1839461773633957,0.185541883111,0.3069151192903518,0.3372584283351898
42,emg,4,0,loss,5,1.5409129596228133,0.6546062206196098,0.8632875277470826,0.8717374676617052,0.9055372273201958,1.4278768848395222,1.900307685969623,2.4661059149840385,2.607555472237643
42,emg,4,1,logit0,12,0.9866193185249964,0.3108796040516613,0.4169559180736542,0.45445598065853116,0.8742976337671281,1.0520253777503967,1.147804170846939,1.410467916727066,1.419502854347229
42,emg,4,1,logit1,12,1.8605121870835621,0.8846852157798206,0.8114809393882751,0.8499323517084122,1.3060408383607864,1.5593587160110474,2.415652871131897,3.2773345708847037,3.987269639968872
42,emg,4,1,offset,12,1.4235657528042793,0.46450137007892833,0.6142184287309647,0.7172795109450817,1.1524394527077675,1.3213855028152466,1.8248394578695297,2.040240148454904,2.236203745007515
42,emg,4,1,gap,12,0.8738928685585657,0.9463519573861539,-0.3385809659957886,0.04496341645717622,0.39262545853853226,0.5105164349079132,1.108007699251175,2.4754869028925883,3.5021317899227142
42,emg,4,1,abs_gap,12,0.9303230295578638,0.8909376148981482,0.3385809659957886,0.3496862858533859,0.39262545853853226,0.5105164349079132,1.108007699251175,2.4754869028925883,3.5021317899227142
42,emg,4,1,quality,12,0.22815776864687598,0.07027271321795606,0.1326697021722793,0.14279281571507452,0.1868485026061535,0.2043521329760551,0.27073112130165095,0.33886076062917697,0.4016957879066467
42,emg,4,1,loss,12,0.3928503538304045,0.16413603062108,0.02968799536404987,0.11127279877605081,0.2916583341605782,0.47046701153711445,0.5159825858085886,0.5335240878861132,0.5381184038322586
42,table,-1,-1,logit0,85,-0.5977190952090656,2.6719165643618066,-5.259362697601318,-3.9827381134033204,-2.691938161849976,-1.4625054597854614,1.5806859731674194,4.235301446914671,6.06058406829834
42,table,-1,-1,logit1,85,1.9750149443307343,2.725697634742436,-3.5586276054382324,-2.655737352371216,-0.1795851588249206,2.251520156860352,3.892292499542236,6.141646575927734,7.182566165924072
42,table,-1,-1,offset,85,0.6886479245608343,0.517507358139955,-0.5444449186325073,-0.15265355110168438,0.37679535150527954,0.6567604541778564,1.1011570747941732,1.5203454971313475,1.623030662536621
42,table,-1,-1,gap,85,2.5727340395398,5.297723660496746,-8.875106811523438,-6.793414878845215,-1.8237831369042397,4.035114526748657,6.505619287490845,9.47795524597168,11.184080123901367
42,table,-1,-1,abs_gap,85,5.189545950950945,2.7845016150403774,0.0034246444702148438,1.080715161561966,2.844422936439514,5.187612175941467,7.058641195297241,9.47795524597168,11.184080123901367
42,table,-1,-1,quality,85,0.3346204528913778,0.15520259322793206,0.0945814475417137,0.13302145898342133,0.2135787457227707,0.3099511265754699,0.4361803531646728,0.6148876070976257,0.7182580232620239
42,table,-1,-1,loss,85,0.4735182922302979,1.142188019321188,1.3893533099995636e-05,7.655483244697336e-05,0.0008595762573024857,0.006998004973693295,0.1294876300222878,2.883429087872235,5.4580342796961485
42,table,-1,0,logit0,15,1.2010907928148906,1.3899454355520784,-1.5614707469940186,-1.2232604861259462,0.540030300617218,1.0592023134231567,2.363553524017334,3.070432066917419,3.4173150062561035
42,table,-1,0,logit1,15,0.23276565844813982,1.3898943859232182,-1.8079348802566528,-1.788296914100647,-0.6057294309139252,0.0033278577029705,1.0031747221946716,2.1396596789360016,3.892292499542236
42,table,-1,0,offset,15,0.7169282256315151,0.3422068919728189,0.023624658584594505,0.10790449976921077,0.5102892331779003,0.8046900629997253,0.9766194224357605,1.15631243288517,1.1654108762741087
42,table,-1,0,gap,15,-0.9683251343667507,2.6942693272965657,-5.225249886512756,-4.586921358108521,-2.797919124364853,-1.2166683673858643,0.5321269929409027,3.1788420200347867,5.453763246536255
42,table,-1,0,abs_gap,15,2.3274966123203438,1.667183341295971,0.0034246444702148438,0.148410564661026,1.1387488543987274,2.1956584341824055,3.3446691930294037,5.293803894519805,5.453763246536255
42,table,-1,0,quality,15,0.2082563574115435,0.08252737198792469,0.1011807471513748,0.1164724178612232,0.14534389972686765,0.1685793846845626,0.25683872401714325,0.3564844816923141,0.3896563649177551
42,table,-1,0,loss,15,2.529383625761744,1.4955562167820724,0.6948609688180547,0.7712246518418691,1.4171044919478137,2.3011756745779177,3.3835200111990407,5.2988404247575005,5.4580342796961485
42,table,-1,1,logit0,70,-0.9831783569284848,2.7226857588740607,-5.259362697601318,-4.125018954277039,-2.795908212661743,-2.101930856704712,0.8686167970299721,4.328452324867248,6.06058406829834
42,table,-1,1,logit1,70,2.3483540770198617,2.7960073917513144,-3.5586276054382324,-2.7627899050712585,0.46132414788007736,2.8071560859680176,4.552248477935791,6.230177330970764,7.182566165924072
42,table,-1,1,offset,70,0.6825878600456885,0.5476316266445448,-0.5444449186325073,-0.22378124296665186,0.3530033826828003,0.6318596452474594,1.1839956641197207,1.5620604276657104,1.623030662536621
42,table,-1,1,gap,70,3.3315324339483467,5.409412958778597,-8.875106811523438,-6.810382843017578,-0.6626153253018856,4.875563025474548,7.418825089931488,9.563676106929778,11.184080123901367
42,table,-1,1,abs_gap,70,5.80284223780036,2.586093362632471,0.8303140252828598,1.5063701793551445,4.043356567621231,5.928547739982605,7.812260687351227,9.563676106929778,11.184080123901367
42,table,-1,1,quality,70,0.36169847335134236,0.1537373316755471,0.0945814475417137,0.15170456841588018,0.2311340607702732,0.34618157148361206,0.47767589986324305,0.6230256170034408,0.7182580232620239
42,table,-1,1,loss,70,0.03297572075927387,0.07130839049146172,1.3893533099995636e-05,7.037383211341285e-05,0.0004085977057493029,0.0026630811252170705,0.017388196659191002,0.20352589827077466,0.36180045018397977
42,table,0,-1,logit0,17,-0.3467572752167197,2.099855107680297,-2.40726375579834,-2.3609018325805664,-2.1863064765930176,-0.6738228797912598,0.9543465971946716,3.5986665725708002,4.32407283782959
42,table,0,-1,logit1,17,1.5593904809040182,2.00709073318136,-2.480443239212036,-1.9424365520477296,0.1419469565153122,1.5380034446716309,3.4998273849487305,3.7628310203552244,4.064396381378174
42,table,0,-1,offset,17,0.6063166028436493,0.14022299407950514,0.43209028244018555,0.4402277946472168,0.48642879724502563,0.5997369289398193,0.6595147848129272,0.8472160100936889,0.9218147993087769
42,table,0,-1,gap,17,1.9061477561207378,4.098409376413312,-6.804516077041626,-5.54110312461853,-0.8123996406793594,2.2118263244628906,5.686133861541748,6.108453845977783,6.471660137176514
42,table,0,-1,abs_gap,17,4.074540535316748,1.9566497159423784,0.8123996406793594,1.188789227604866,2.2118263244628906,4.831491231918335,5.792861700057983,6.538231325149536,6.804516077041626
42,table,0,-1,quality,17,0.2715302092187545,0.09863573406565158,0.1321619600057602,0.13623802363872523,0.1641913503408432,0.2897169888019562,0.3525212109088897,0.41177896857261653,0.4325180947780609
